2020-02-03 19:50:53,268 [myid:] - WARN  [NIOWorkerThread-8:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000a, likely client has closed socket
2020-02-03 19:50:57,251 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000a, timeout of 4000ms exceeded
2020-02-03 19:52:27,494 [myid:] - WARN  [NIOWorkerThread-5:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000c, likely client has closed socket
2020-02-03 19:52:31,253 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000c, timeout of 4000ms exceeded
2020-02-03 19:52:51,963 [myid:] - WARN  [NIOWorkerThread-4:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000d, likely client has closed socket
2020-02-03 19:52:55,250 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000d, timeout of 4000ms exceeded
2020-02-03 19:54:02,581 [myid:] - WARN  [NIOWorkerThread-5:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000b, likely client has closed socket
2020-02-03 19:54:07,252 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000b, timeout of 4000ms exceeded
2020-02-03 19:57:21,198 [myid:] - WARN  [NIOWorkerThread-4:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0011, likely client has closed socket
2020-02-03 19:57:25,253 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0011, timeout of 4000ms exceeded
2020-02-03 19:57:47,126 [myid:] - WARN  [NIOWorkerThread-7:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000e, likely client has closed socket
2020-02-03 19:57:51,253 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000e, timeout of 4000ms exceeded
2020-02-03 19:59:48,574 [myid:] - WARN  [NIOWorkerThread-2:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0013, likely client has closed socket
2020-02-03 19:59:53,252 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0013, timeout of 4000ms exceeded
2020-02-03 19:59:54,610 [myid:] - WARN  [NIOWorkerThread-8:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b000f, likely client has closed socket
2020-02-03 19:59:59,251 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b000f, timeout of 4000ms exceeded
2020-02-03 20:03:22,958 [myid:] - WARN  [NIOWorkerThread-3:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0010, likely client has closed socket
2020-02-03 20:03:27,262 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0010, timeout of 4000ms exceeded
2020-02-03 20:03:29,236 [myid:] - WARN  [NIOWorkerThread-1:NIOServerCnxn@366] - Unable to read additional data from client sessionid 0x10000f7f75b0012, likely client has closed socket
2020-02-03 20:03:33,261 [myid:] - INFO  [SessionTracker:ZooKeeperServer@398] - Expiring session 0x10000f7f75b0012, timeout of 4000ms exceeded
